@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
378.19,5.0016,732.13,0,0,0,0
301.99,5.2119,150.73,0,0.21033,0,0
270.24,5.2737,1033.6,0,0.27217,882.86,0
143.07,5.4802,172.27,0,0.47862,21.533,0
72.261,5.5579,796.73,0,0.55628,646,1
230.79,5.3247,689.06,158.53,0.3231,538.33,1
1039.8,5.0854,495.26,967.51,0.083867,344.53,1
1682.5,5.0485,452.2,1610.2,0.046975,301.46,1
1522.5,5.0278,1270.5,1450.2,0.026222,1119.7,1
1732.1,5.1392,1270.5,1659.9,0.13763,1119.7,1
2407.8,5.1716,430.66,2335.5,0.17007,279.93,1
2911.8,5.1333,452.2,2839.6,0.13176,301.46,1
3385.3,5.0361,452.2,3313.1,0.034548,301.46,1
3538.9,5.0926,452.2,3466.7,0.090987,301.46,1
3544,5.1943,452.2,3471.8,0.19271,301.46,1
3468.8,5.3706,473.73,3396.6,0.369,323,1
3729.4,5.1749,1808.8,3657.1,0.17331,1658.1,1
3879.1,5.2749,1787.3,3806.9,0.27336,1636.5,1
4358.8,5.1864,516.8,4286.5,0.18479,366.06,1
3790,5.2539,473.73,3717.7,0.25235,323,1
4143.2,4.9626,495.26,4071,0,344.53,1
3673.5,5.036,495.26,3601.3,0.073484,344.53,1
3144.1,5.0459,473.73,3071.9,0.083362,323,1
2632.6,5.0159,473.73,2560.3,0.053357,323,1
2599.8,4.9733,473.73,2527.6,0.010733,323,1
2695.9,4.9499,473.73,2623.6,0,323,1
2868.6,4.989,473.73,2796.3,0.039018,323,1
2410.2,5.0502,473.73,2338,0.10026,323,1
2691.5,4.9306,495.26,2619.2,0,344.53,1
2774.9,4.8653,495.26,2702.7,0,344.53,1
2882.9,4.9027,495.26,2810.6,0.037324,344.53,1
3289.4,4.9305,495.26,3217.2,0.065133,344.53,1
3127.6,5.0322,516.8,3055.4,0.16683,366.06,1
3048.1,4.9676,495.26,2975.8,0.10228,344.53,1
2881.1,5.0934,516.8,2808.9,0.22809,366.06,1
3169.9,4.9872,516.8,3097.7,0.12191,366.06,1
3580.9,5.024,516.8,3508.7,0.15865,366.06,1
4088.8,4.9809,516.8,4016.5,0.11555,366.06,1
4367.3,5.015,516.8,4295.1,0.14963,366.06,1
4104,4.9773,516.8,4031.7,0.11196,366.06,1
4152.1,4.7876,516.8,4079.8,0,366.06,1
3869.3,4.8514,516.8,3797,0.063824,366.06,1
3978.2,4.7989,516.8,3906,0.011241,366.06,1
3762.9,4.8992,516.8,3690.6,0.11159,366.06,1
3564.4,5.0059,516.8,3492.2,0.21826,366.06,1
3873.7,4.87,516.8,3801.4,0.082369,366.06,1
3729.2,4.7764,516.8,3656.9,0,366.06,1
3413.3,4.631,516.8,3341,0,366.06,1
3306.4,4.5686,516.8,3234.1,0,366.06,1
3339.5,4.4884,516.8,3267.3,0,366.06,1
3650.8,4.4878,516.8,3578.6,0,366.06,1
3766.9,4.3228,538.33,3694.6,0,387.6,1
2895.2,4.3909,538.33,2822.9,0.068145,387.6,1
2356.2,4.5352,538.33,2284,0.21236,387.6,1
1526.8,4.6618,538.33,1454.6,0.33898,387.6,1
1509.8,4.7062,516.8,1437.5,0.38337,366.06,1
555.53,5.3548,452.2,483.27,1.032,301.46,1
386.06,5.5189,452.2,313.8,1.1961,301.46,1
345.58,5.4409,150.73,273.32,1.1181,0,1
413.7,5.1796,323,341.44,0.85676,172.27,1
285.06,5.1358,215.33,212.8,0.81302,64.6,1
249.77,5.0753,236.87,177.51,0.75251,86.133,0
174.84,5.1331,129.2,102.58,0.81034,0,0
250.72,4.9066,409.13,178.46,0.58385,279.93,0
347.81,4.7704,409.13,275.55,0.44764,279.93,0
242.08,4.9642,129.2,169.82,0.64141,0,0
399.76,4.824,323,327.5,0.50117,193.8,0
928.75,4.4851,516.8,856.49,0.16229,387.6,0
