@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
66.973,0,5.2854,0,710.6,0,0.0078659,0,139,0,0
67.131,0.15759,5.2594,0,925.93,215.33,0.0097405,0.0018745,145,6,0
72.889,5.9154,5.3065,0.047025,1916.5,1205.9,0.0079613,9.5349e-05,154,15,0
88.971,21.998,5.4885,0.22904,882.86,172.27,0.014013,0.0061471,44,0,0
91.045,24.071,5.5117,0.25222,882.86,172.27,0.012667,0.0048007,52,8,1
63.013,0,5.2883,0.028856,538.33,0,0.017985,0.010119,21,0,1
1223.6,1160.5,4.7392,0,495.26,0,0.028237,0.020371,126,105,1
1733.4,1670.4,4.759,0.019871,452.2,0,0.045281,0.037415,55,34,1
1470.1,1407.1,4.5461,0,430.66,0,0.10461,0.096744,54,33,1
1661.4,1598.3,4.6393,0.09326,430.66,0,0.1153,0.10743,53,32,1
1905.2,1842.2,4.8211,0.27502,452.2,21.533,0.11359,0.10573,51,30,1
2015.5,1952.5,4.6152,0.069075,452.2,21.533,0.13852,0.13066,48,27,1
2289.7,2226.7,4.3435,0,452.2,21.533,0.18508,0.17721,47,26,1
2438.5,2375.4,4.5463,0.2028,473.73,43.066,0.16749,0.15962,47,26,1
2421.3,2358.3,4.637,0.2935,452.2,21.533,0.17311,0.16525,49,28,1
2660.1,2597.1,4.7844,0.4409,452.2,21.533,0.16144,0.15358,47,26,1
2808.6,2745.6,4.518,0.17453,473.73,43.066,0.16064,0.15277,45,24,1
2949.2,2886.2,4.6711,0.3276,473.73,43.066,0.19497,0.1871,47,26,1
3096.4,3033.4,4.7898,0.44634,473.73,43.066,0.16592,0.15805,46,25,1
3788.3,3725.3,4.658,0.31451,473.73,43.066,0.20131,0.19345,43,22,1
3485.7,3422.7,4.3657,0.022213,495.26,64.6,0.17541,0.16755,42,21,1
3574.9,3511.9,4.457,0.11345,495.26,64.6,0.18867,0.18081,42,21,1
3464.5,3401.5,4.4561,0.11257,473.73,43.066,0.18161,0.17375,43,22,1
3117.2,3054.1,4.4385,0.095033,473.73,43.066,0.15937,0.1515,44,23,1
3004.7,2941.7,4.3903,0.046765,473.73,43.066,0.14636,0.13849,44,23,1
2920.4,2857.4,4.3383,0,473.73,43.066,0.15135,0.14349,45,24,1
3056.6,2993.6,4.4427,0.10442,473.73,43.066,0.16524,0.15738,44,23,1
2872.4,2809.4,4.5054,0.16709,473.73,43.066,0.14317,0.13531,43,22,1
2960,2897,4.3734,0.035046,495.26,64.6,0.17145,0.16358,41,20,1
2984.1,2921.1,4.2427,0,495.26,64.6,0.1682,0.16034,40,19,1
3259,3196,4.3726,0.1299,495.26,64.6,0.14129,0.13342,39,18,1
3308.7,3245.7,4.2772,0.034444,495.26,64.6,0.13966,0.13179,39,18,1
3325.9,3262.8,4.332,0.089314,495.26,64.6,0.15864,0.15077,130,109,1
3271.2,3208.2,4.3417,0.098941,516.8,86.133,0.15221,0.14434,38,17,1
3271.3,3208.3,4.4547,0.21194,516.8,86.133,0.13586,0.12799,38,17,1
3347.9,3284.9,4.394,0.1513,516.8,86.133,0.14461,0.13674,37,16,1
3480.3,3417.2,4.2068,0,516.8,86.133,0.14206,0.13419,127,106,1
3557.3,3494.2,4.186,0,516.8,86.133,0.14231,0.13444,36,15,1
3659.6,3596.6,4.206,0.02005,516.8,86.133,0.15437,0.14651,36,15,1
3741.7,3678.7,4.1119,0,516.8,86.133,0.14944,0.14157,124,103,1
3824.1,3761.1,4.1733,0.061323,516.8,86.133,0.15068,0.14282,35,14,1
3835.8,3772.8,4.0683,0,516.8,86.133,0.14984,0.14198,35,14,1
3900.5,3837.5,4.0698,0.0014988,516.8,86.133,0.14998,0.14211,35,14,1
3988.1,3925.1,4.1639,0.095671,516.8,86.133,0.15855,0.15069,36,15,1
3988.4,3925.4,4.1979,0.12967,516.8,86.133,0.18081,0.17295,36,15,1
4015.4,3952.4,4.1153,0.047053,516.8,86.133,0.1539,0.14604,36,15,1
3871,3808,3.9727,0,516.8,86.133,0.16107,0.1532,37,16,1
3593.5,3530.5,3.8876,0,516.8,86.133,0.13408,0.12622,36,15,1
3416.9,3353.9,3.8163,0,516.8,86.133,0.11631,0.10845,37,16,1
3419.7,3356.7,3.8153,0,516.8,86.133,0.093891,0.086025,37,16,1
3604.6,3541.6,3.707,0,516.8,86.133,0.099165,0.091299,34,13,1
3918.6,3855.5,3.5803,0,538.33,107.67,0.10263,0.094761,32,11,1
3322.6,3259.6,3.6082,0.0279,538.33,107.67,0.084584,0.076718,31,10,1
2773.1,2710.1,3.8238,0.24346,538.33,107.67,0.075704,0.067838,31,10,1
1871.1,1808.1,3.9439,0.36355,538.33,107.67,0.065545,0.057679,34,13,1
1630,1567,4.0169,0.43652,516.8,86.133,0.056928,0.049062,39,18,1
564.33,501.32,4.609,1.0286,473.73,43.066,0.044509,0.036643,43,22,1
148.7,85.688,5.2066,1.6262,430.66,0,0.028521,0.020655,56,35,1
70.206,7.1929,5.5821,2.0018,538.33,107.67,0.02195,0.014084,54,33,1
72.307,9.2935,5.4706,1.8903,516.8,86.133,0.01631,0.008444,38,17,1
76.372,13.358,5.3391,1.7588,538.33,107.67,0.011768,0.0039018,115,94,1
45.768,0,4.8904,1.3101,516.8,86.133,0.013908,0.006042,29,8,0
56.429,10.662,5.0393,1.459,538.33,107.67,0.013608,0.0057425,31,10,0
56.438,10.671,5.0413,1.461,495.26,64.6,0.0088672,0.0010012,41,20,0
60.837,15.07,5.2364,1.656,258.4,0,0.0032856,0,29,8,0
61.764,15.997,5.2043,1.6239,129.2,0,0.0066812,0.0033957,117,96,0
69.115,23.348,5.3315,1.7512,86.133,0,0.0068464,0.0035609,38,17,0
76.022,30.255,5.3726,1.7922,301.46,215.33,0.007408,0.0041224,92,71,0
82.524,36.757,5.4139,1.8336,1959.5,1873.4,0.010099,0.0068133,21,0,0
69.526,23.758,5.3216,1.7413,1981.1,1894.9,0.013898,0.010613,15,0,0
46.318,0.55085,5.2756,1.6953,1851.9,1765.7,0.014317,0.011031,16,1,0
81.392,35.624,5.4947,1.9143,258.4,172.27,0.012501,0.0092151,15,0,0
81.186,35.419,5.5056,1.9253,2024.1,1938,0.011225,0.0079397,32,17,0
98.854,53.087,5.5974,2.0171,193.8,107.67,0.010911,0.007625,41,26,0
99.925,54.157,5.6045,2.0241,2067.2,1981.1,0.010537,0.0072515,4,0,0
83.651,37.883,5.4481,1.8678,2002.6,1916.5,0.014168,0.010882,58,54,0
93.892,48.124,5.5428,1.9624,215.33,129.2,0.016143,0.012858,34,30,0
93.921,48.154,5.564,1.9837,236.87,150.73,0.010786,0.0075008,20,16,0
77.946,32.178,5.4406,1.8602,193.8,107.67,0.0077365,0.0044509,31,27,0
69.372,23.604,5.5286,1.9482,129.2,43.066,0.0050428,0.0017572,60,56,0
56.193,10.425,5.404,1.8236,258.4,172.27,0.003457,0.00017143,137,133,0
45.479,0,5.3125,1.7322,236.87,150.73,0.0024863,0,134,130,0
38.274,0,5.3636,1.7833,387.6,301.46,0.0019944,0,85,81,0
39.659,1.3852,5.4497,1.8694,107.67,21.533,0.0016694,0,43,39,0
61.922,23.648,5.4852,1.9048,258.4,172.27,0.003069,0.0013996,141,137,0
82.074,43.8,5.5506,1.9702,495.26,409.13,0.0050425,0.0033731,34,30,0
82.836,44.562,5.4407,1.8604,538.33,452.2,0.0073867,0.0057173,30,26,1
883.2,844.92,4.4832,0.90284,516.8,430.66,0.030283,0.028613,42,38,1
1231.9,1193.6,4.2961,0.71575,495.26,409.13,0.08999,0.088321,42,38,1
1692.9,1654.7,4.5453,0.96491,473.73,387.6,0.087095,0.085425,43,39,1
1909.8,1871.5,4.5873,1.007,473.73,387.6,0.10017,0.098501,44,40,1
1978.6,1940.3,4.4656,0.88529,473.73,387.6,0.1301,0.12843,44,40,1
2124.8,2086.5,4.476,0.89561,473.73,387.6,0.1316,0.12993,42,38,1
2304.5,2266.3,4.6013,1.021,495.26,409.13,0.12319,0.12152,41,37,1
2281.7,2243.5,4.4307,0.85031,495.26,409.13,0.12861,0.12694,41,37,1
2348.4,2310.1,4.4819,0.90151,495.26,409.13,0.13812,0.13645,41,37,1
2334.3,2296,4.4098,0.82947,495.26,409.13,0.11315,0.11148,41,37,1
2343.2,2304.9,4.4951,0.91477,495.26,409.13,0.12948,0.12781,42,38,1
2350.6,2312.3,4.4804,0.90004,495.26,409.13,0.12365,0.12199,42,38,1
2366,2327.7,4.422,0.84161,495.26,409.13,0.13231,0.13065,42,38,1
2447.8,2409.6,4.5704,0.99008,495.26,409.13,0.13398,0.13231,42,38,1
2404.1,2365.9,4.464,0.88365,495.26,409.13,0.12188,0.12021,137,133,1
2336.9,2298.6,4.434,0.85362,473.73,387.6,0.13929,0.13762,138,134,1
2350.8,2312.5,4.4973,0.91693,495.26,409.13,0.12914,0.12747,137,133,1
2309.4,2271.1,4.4008,0.82049,495.26,409.13,0.13092,0.12925,136,132,1
2325.5,2287.3,4.5523,0.97192,473.73,387.6,0.13526,0.13359,42,38,1
2257.2,2218.9,4.4563,0.87597,473.73,387.6,0.14548,0.14381,43,39,1
2314.2,2275.9,4.5984,1.018,473.73,387.6,0.13352,0.13185,44,40,1
2287.4,2249.1,4.7653,1.1849,473.73,387.6,0.11501,0.11334,46,42,1
2149.9,2111.7,4.5053,0.92494,452.2,366.06,0.1265,0.12483,147,143,1
