@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.011275,0,46,0
0.0097405,0,178,0
0.011648,0.0019077,29,0
0.017172,0.0074312,29,0
0.020427,0.010686,30,1
0.017985,0.0082449,54,1
0.034156,0.024415,11,1
0.045281,0.035541,88,1
0.10461,0.094869,87,1
0.1153,0.10556,86,1
0.11359,0.10385,84,1
0.13852,0.12878,81,1
0.18508,0.17534,80,1
0.16749,0.15774,80,1
0.17311,0.16337,82,1
0.16144,0.1517,80,1
0.16064,0.1509,78,1
0.19497,0.18523,80,1
0.16592,0.15618,79,1
0.20131,0.19157,76,1
0.17869,0.16895,75,1
0.18867,0.17893,75,1
0.18161,0.17187,76,1
0.15937,0.14963,77,1
0.14636,0.13662,77,1
0.15191,0.14217,78,1
0.16524,0.1555,77,1
0.14317,0.13343,76,1
0.17145,0.16171,74,1
0.1682,0.15846,73,1
0.15067,0.14093,72,1
0.14915,0.13941,72,1
0.15864,0.1489,163,1
0.15447,0.14473,71,1
0.14237,0.13263,71,1
0.15369,0.14395,70,1
0.15896,0.14922,70,1
0.15616,0.14642,69,1
0.17079,0.16105,69,1
0.15942,0.14968,68,1
0.16968,0.15994,68,1
0.15148,0.14174,68,1
0.15653,0.14679,68,1
0.17172,0.16198,69,1
0.19784,0.1881,69,1
0.1641,0.15436,69,1
0.16812,0.15838,70,1
0.14111,0.13137,69,1
0.11925,0.10951,70,1
0.10067,0.090926,70,1
0.10451,0.09477,67,1
0.10263,0.092887,65,1
0.092108,0.082368,64,1
0.0802,0.07046,64,1
0.068254,0.058513,67,1
0.061446,0.051705,72,1
0.044509,0.034768,76,1
0.028521,0.01878,89,1
0.02195,0.012209,87,1
0.016905,0.0071648,71,1
0.011768,0.0020273,148,1
0.016023,0.0062827,62,0
0.013608,0.0038679,64,0
0.0088672,0,74,0
0.0032856,0,62,0
0.0066812,0.0033957,150,0
0.0068464,0.0035609,71,0
0.007408,0.0041224,125,0
0.012693,0.0094073,29,0
0.014521,0.011235,23,0
0.019053,0.015767,30,0
0.014759,0.011474,6,0
0.015102,0.011817,5,0
0.013194,0.0099082,5,0
0.010537,0.0072515,37,0
0.014168,0.010882,91,0
0.016143,0.012858,67,0
0.010786,0.0075008,53,0
0.0079765,0.0046909,14,0
0.0053349,0.0020493,70,0
0.003457,0.00017143,170,0
0.0024863,0,167,0
0.0019944,0,118,0
0.0016694,0,76,0
0.003069,0.0013996,174,0
0.0069384,0.005269,67,0
0.0098862,0.0082168,63,1
0.036076,0.034406,75,1
0.091383,0.089713,75,1
0.088803,0.087134,76,1
0.10017,0.098501,77,1
0.1301,0.12843,77,1
0.13348,0.13181,75,1
0.12319,0.12152,74,1
0.13052,0.12885,74,1
0.13847,0.1368,74,1
0.12371,0.12204,74,1
0.13375,0.13208,75,1
0.12365,0.12199,75,1
0.13231,0.13065,75,1
0.13661,0.13494,75,1
0.12336,0.12169,170,1
0.13929,0.13762,171,1
0.12937,0.1277,170,1
