@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0018094,0,0,0,0,0,0
0.014567,1,28,0.012758,1,28,0
0.0024564,0,0,0.00064707,0,0,0
0.0097519,0,0,0.0079425,0,0,0
0.012921,1,23,0.011111,1,23,1
0.017711,1,28,0.015902,1,28,1
0.014926,2,15,0.013117,2,15,1
0.027613,1,15,0.025804,1,15,1
0.032404,2,15,0.030594,2,15,1
0.043761,2,15,0.041951,2,15,1
0.040352,3,15,0.038543,3,15,1
0.04356,3,15,0.041751,3,15,1
0.05012,3,15,0.048311,3,15,1
0.046821,4,4,0.045012,4,4,1
0.057759,3,15,0.05595,3,15,1
0.053588,4,4,0.051778,4,4,1
0.06251,3,13,0.0607,3,13,1
0.060274,4,4,0.058464,4,4,1
0.064799,4,4,0.062989,4,4,1
0.068461,4,4,0.066652,4,4,1
0.040232,3,15,0.038423,3,15,1
0.052064,4,4,0.050254,4,4,1
0.058045,4,4,0.056235,4,4,1
0.060266,4,4,0.058457,4,4,1
0.042851,4,4,0.041041,4,4,1
0.039919,3,13,0.03811,3,13,1
0.04229,4,4,0.040481,4,4,1
0.043775,4,4,0.041966,4,4,1
0.040154,4,4,0.038345,4,4,1
0.036451,3,4,0.034642,3,4,1
0.038154,3,4,0.036345,3,4,1
0.042914,3,4,0.041105,3,4,1
0.036839,5,4,0.035029,5,4,1
0.044929,4,4,0.04312,4,4,1
0.043492,4,5,0.041683,4,5,1
0.055349,5,5,0.05354,5,5,1
0.046061,4,3,0.044251,4,3,1
0.036224,5,3,0.034415,5,3,1
0.046994,5,3,0.045184,5,3,1
0.038382,3,3,0.036572,3,3,1
0.024213,4,4,0.022403,4,4,1
0.05069,4,4,0.048881,4,4,1
0.051002,4,4,0.049192,4,4,1
0.057382,3,4,0.055573,3,4,1
0.064044,4,4,0.062234,4,4,1
0.050175,3,4,0.048366,3,4,1
0.049489,4,4,0.047679,4,4,1
0.035715,3,4,0.033905,3,4,1
0.033413,4,4,0.031604,4,4,1
0.038904,5,4,0.037095,5,4,1
0.020766,4,3,0.018956,4,3,1
0.014534,3,10,0.012724,3,10,1
0.031817,3,3,0.030007,3,3,1
0.033921,4,3,0.032112,4,3,1
0.031116,3,3,0.029307,3,3,1
0.033697,3,3,0.031887,3,3,1
0.0249,1,13,0.023091,1,13,1
0.031333,1,13,0.029524,1,13,1
0.020074,2,12,0.018264,2,12,1
0.013274,1,13,0.011465,1,13,1
0.0088349,0,0,0.0070255,0,0,1
0.011986,1,15,0.010177,1,15,0
0.0022754,0,0,0.000466,0,0,0
0.0027245,0,0,0.00091511,0,0,0
0.0017793,0,0,0,0,0,0
0.01115,1,15,0.0093707,1,15,0
0.0014462,0,0,0,0,0,0
0.00049832,0,0,0,0,0,0
0.0012033,0,0,0.00070495,0,0,0
0.0050828,0,0,0.0045845,0,0,0
0.008781,0,0,0.0082827,0,0,0
0.013065,1,24,0.012567,1,24,0
0.017525,2,15,0.017027,2,15,0
0.010928,1,24,0.01043,1,24,0
0.0080894,0,0,0.0075911,0,0,0
0.0066859,0,0,0.0061876,0,0,0
0.0031726,0,0,0.0026742,0,0,0
0.016482,1,15,0.015983,1,15,0
0.018384,1,14,0.017885,1,14,0
0.019061,1,14,0.018563,1,14,0
0.021064,1,13,0.020566,1,13,0
0.0083881,0,0,0.0078897,0,0,0
0.0014289,0,0,0.00093053,0,0,0
0.003333,0,0,0.0028346,0,0,0
0.0077064,0,0,0.0072081,0,0,0
0.014513,1,8,0.014014,1,8,0
0.015909,2,8,0.015411,2,8,1
0.0040781,0,0,0.0035798,0,0,1
0.011888,3,13,0.011389,3,13,1
0.038145,1,13,0.037646,1,13,1
0.052036,4,4,0.051538,4,4,1
0.042951,3,4,0.042452,3,4,1
0.04254,3,4,0.042042,3,4,1
0.064254,4,4,0.063756,4,4,1
0.054261,3,4,0.053763,3,4,1
0.055585,3,4,0.055087,3,4,1
0.056245,3,4,0.055747,3,4,1
0.051167,4,4,0.050669,4,4,1
0.040174,4,4,0.039675,4,4,1
0.050456,3,4,0.049958,3,4,1
0.042352,4,4,0.041853,4,4,1
0.055634,3,4,0.055136,3,4,1
0.041806,4,4,0.041308,4,4,1
0.045623,4,4,0.045125,4,4,1
0.039857,3,4,0.039359,3,4,1
0.060171,2,4,0.059672,2,4,1
0.057247,3,4,0.056749,3,4,1
0.067162,3,4,0.066664,3,4,1
0.088165,2,4,0.087667,2,4,1
0.061685,2,4,0.061187,2,4,1
0.058366,3,4,0.057868,3,4,1
0.058386,4,4,0.057887,4,4,1
0.061965,3,4,0.061467,3,4,1
0.054527,3,4,0.054029,3,4,1
0.054462,4,4,0.053963,4,4,1
0.056075,4,4,0.055577,4,4,1
0.064579,4,4,0.064081,4,4,1
0.061665,3,4,0.061166,3,4,1
0.054684,4,4,0.054185,4,4,1
0.050727,4,4,0.050228,4,4,1
0.061647,3,4,0.061148,3,4,1
0.05283,4,4,0.052332,4,4,1
0.052251,3,4,0.051753,3,4,1
0.054582,3,4,0.054084,3,4,1
0.054551,2,4,0.054053,2,4,1
0.055878,3,4,0.05538,3,4,1
0.057004,3,4,0.056506,3,4,1
0.047841,2,12,0.047343,2,12,1
0.043179,4,4,0.042681,4,4,1
0.062132,3,4,0.061634,3,4,1
0.064334,3,4,0.063836,3,4,1
0.059731,3,4,0.059232,3,4,1
0.0588,3,4,0.058302,3,4,1
0.052516,3,4,0.052018,3,4,1
0.049755,2,12,0.049256,2,12,1
0.074398,3,4,0.0739,3,4,1
0.071478,1,11,0.07098,1,11,1
0.056371,1,11,0.055873,1,11,1
0.048769,1,11,0.048271,1,11,1
0.044056,1,12,0.043558,1,12,1
0.042453,2,12,0.041954,2,12,1
0.046001,3,11,0.045502,3,11,1
0.04994,1,12,0.049441,1,12,1
0.044892,1,12,0.044393,1,12,1
0.044444,2,12,0.043945,2,12,1
0.044134,3,12,0.043636,3,12,1
0.049563,1,13,0.049065,1,13,1
0.057979,3,12,0.05748,3,12,1
0.067424,2,12,0.066926,2,12,1
0.081506,4,4,0.081008,4,4,1
0.057253,2,13,0.056755,2,13,1
0.077145,2,13,0.076646,2,13,1
0.069993,4,4,0.069495,4,4,1
0.071854,4,4,0.071356,4,4,1
0.073874,4,4,0.073375,4,4,1
0.066879,2,13,0.066381,2,13,1
0.080172,2,13,0.079674,2,13,1
0.07651,3,4,0.076012,3,4,1
0.080335,3,4,0.079837,3,4,1
0.082152,3,4,0.081654,3,4,1
0.077832,2,13,0.077334,2,13,1
0.078754,3,5,0.078255,3,5,1
0.075958,3,5,0.07546,3,5,1
0.062549,4,5,0.062051,4,5,1
0.047953,3,5,0.047455,3,5,1
0.058715,3,5,0.058217,3,5,1
0.062084,3,5,0.061586,3,5,1
0.07806,2,4,0.077562,2,4,1
0.042116,3,13,0.041618,3,13,1
0.012772,1,13,0.012274,1,13,1
0.031637,1,14,0.031138,1,14,1
0.022453,1,13,0.021955,1,13,1
0.019798,2,13,0.019299,2,13,1
0.014358,1,12,0.01386,1,12,1
0.030628,1,13,0.03013,1,13,1
0.033245,1,14,0.032747,1,14,1
0.026271,1,13,0.025772,1,13,1
0.040551,1,13,0.040053,1,13,1
0.013638,1,12,0.01314,1,12,1
0.01637,1,12,0.015871,1,12,1
0.045746,1,12,0.045247,1,12,1
