@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
118.04,5.9673,710.6,0.45265,35,0,0,0,0,0,0
114.28,5.8897,925.93,0.59141,25,0,0,215.33,0.13876,0,0
124.59,5.9632,1916.5,0.55676,35,10.311,0.073464,1205.9,0.10411,10,0
150.21,6.0711,882.86,0.48503,59,35.934,0.18137,172.27,0.032376,34,0
171.48,6.2006,882.86,0.52677,97,57.197,0.31087,172.27,0.074116,72,1
142.68,5.9607,538.33,0.30833,35,28.403,0.070912,0,0,10,1
1135.4,5.0043,495.26,0.76086,15,1021.2,0,0,0.45252,0,1
1650,4.9567,452.2,0.88301,22,1535.8,0,0,0.57468,7,1
1383.9,4.7959,430.66,1.1518,29,1269.6,0,0,0.84349,14,1
1558.6,4.919,430.66,1.1487,30,1444.4,0.12313,0,0.84039,15,1
1802.2,5.0667,452.2,0.94736,24,1687.9,0.27075,21.533,0.63903,9,1
1891.2,4.9475,452.2,1.1713,32,1776.9,0.15163,21.533,0.86296,17,1
2161.1,4.7659,452.2,1.2672,33,2046.8,0,21.533,0.95892,18,1
2299.9,4.9516,473.73,1.1944,33,2185.6,0.18565,43.066,0.88609,18,1
2291.2,5.0225,452.2,1.1166,32,2177,0.25655,21.533,0.80824,17,1
2517.2,5.18,452.2,1.0225,33,2402.9,0.41401,21.533,0.71413,18,1
2691,4.8836,473.73,1.2228,33,2576.7,0.11768,43.066,0.91451,18,1
2818.3,5.0428,473.73,1.133,33,2704,0.27684,43.066,0.82465,18,1
2961,5.1449,473.73,1.0214,34,2846.8,0.37899,43.066,0.71308,19,1
3644.4,5.0025,473.73,1.166,33,3530.2,0.23652,43.066,0.85768,18,1
3374.8,4.6868,495.26,1.2562,34,3260.5,0,64.6,0.94785,19,1
3450.6,4.7841,495.26,1.2628,34,3336.3,0.09731,64.6,0.95449,19,1
3337.7,4.788,473.73,1.2536,33,3223.4,0.10124,43.066,0.94531,18,1
2988.5,4.7748,473.73,1.2805,34,2874.3,0.088059,43.066,0.97217,19,1
2884.5,4.7226,473.73,1.3002,34,2770.3,0.035832,43.066,0.99187,19,1
2809.8,4.6791,473.73,1.2602,34,2695.5,0,43.066,0.95186,19,1
2943.5,4.7726,473.73,1.3005,34,2829.2,0.093434,43.066,0.99219,19,1
