@relation featureMatrix

@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0,8,0
0.13876,3,0
0.10411,7,0
0.032376,11,0
0.074116,20,1
0.3941,2,1
0.56689,2,1
0.58999,3,1
0.84662,6,1
0.83336,6,1
0.6918,6,1
0.89374,6,1
0.97049,6,1
0.90437,6,1
0.84129,6,1
0.79021,6,1
0.91498,6,1
0.856,6,1
0.8044,6,1
0.9081,7,1
0.94384,7,1
0.94346,7,1
0.95245,7,1
0.9865,7,1
0.98663,7,1
0.96155,7,1
1.0017,7,1
1.0653,3,1
1.0837,2,1
1.1061,2,1
1.1326,2,1
1.0773,2,1
1.0166,2,1
1.0059,2,1
0.96132,2,1
0.93145,2,1
1.0214,2,1
1.0718,2,1
1.0953,2,1
1.1194,2,1
1.1223,2,1
1.1333,2,1
1.1322,2,1
1.1011,2,1
1.0773,2,1
1.0923,2,1
1.129,2,1
1.1562,2,1
1.1788,2,1
1.1866,2,1
1.1281,2,1
1.1796,2,1
1.1781,2,1
1.1917,2,1
1.0449,2,1
1.2184,2,1
1.0243,2,1
0.81455,2,1
0.2073,7,1
0.13439,7,1
0.42336,3,1
0.91545,2,0
0.92053,2,0
0,2,0
0,6,0
0,7,0
0.046257,7,0
0.28909,9,0
0.42786,7,0
0.71512,8,0
0.64916,7,0
0.39981,10,0
0.21372,10,0
0.15671,19,0
0.1712,17,0
0.38027,10,0
0.28757,15,0
0.12837,19,0
0.11084,19,0
0.21345,11,0
0.097634,11,0
0.1582,12,0
0.13132,24,0
0.05965,17,0
0.15667,17,0
0.20604,12,0
0.37871,2,1
1.1602,2,1
1.4117,2,1
1.4811,2,1
1.4382,2,1
1.4052,2,1
1.37,9,1
1.3365,8,1
1.3419,2,1
1.374,2,1
1.4011,2,1
1.4068,2,1
1.4263,2,1
1.4213,2,1
1.418,2,1
1.4281,2,1
1.4647,2,1
1.4963,2,1
1.5023,2,1
1.4803,2,1
1.4842,3,1
1.472,2,1
1.4283,2,1
1.4122,2,1
1.4328,3,1
1.391,7,1
1.3209,11,1
1.3245,13,1
1.3206,13,1
1.3189,12,1
1.3415,8,1
1.3426,3,1
1.384,3,1
1.3736,4,1
1.3357,3,1
1.3075,4,1
1.3317,4,1
1.3937,2,1
1.4028,2,1
1.4163,2,1
1.3828,2,1
1.3756,5,1
1.3612,9,1
1.3278,9,1
1.2129,8,1
1.1347,5,1
1.0993,5,1
1.127,5,1
1.1108,5,1
1.1165,5,1
1.1398,5,1
1.1352,5,1
1.1376,5,1
1.1421,6,1
1.1519,5,1
1.3136,8,1
1.3789,8,1
1.4276,8,1
1.4269,8,1
1.4122,8,1
1.3814,9,1
1.352,9,1
1.4312,5,1
1.4769,2,1
1.454,9,1
1.454,5,1
1.4859,2,1
1.4993,2,1
1.4873,2,1
1.4847,2,1
1.4879,2,1
1.4873,2,1
1.4833,2,1
1.4727,2,1
1.4801,2,1
1.4678,2,1
1.4376,2,1
1.4222,2,1
1.4365,2,1
1.4192,2,1
1.366,2,1
1.2803,3,1
1.224,5,1
1.2141,5,1
1.2147,5,1
1.2035,5,1
1.1633,5,1
1.2002,4,1
1.1523,4,1
1.2532,3,1
1.3698,3,1
1.4681,3,1
1.4048,3,1
1.3989,3,1
1.3414,3,1
1.3058,3,1
0.93037,3,1
0.33588,3,1
0.4899,3,1
0.44503,3,1
0.41626,3,1
0.70382,3,1
0.48402,3,1
0.56808,3,1
0.7246,2,1
1.051,2,1
1.423,2,1
1.5561,2,1
0.96268,2,1
1.2531,2,1
1.3877,2,1
1.2975,2,1
1.2515,2,1
1.48,2,1
1.5604,2,0
1.565,2,0
1.5127,2,0
0.9581,3,0
0.1937,8,0
0.29598,9,0
0.36764,10,0
0.24908,10,0
0.30356,12,0
0.27159,9,0
0.20695,10,0
0.11925,10,0
0.12083,24,0
0.15084,21,0
0.20361,17,0
0.15267,25,0
0.14695,25,0
0.18053,21,0
0.21826,19,0
0.1285,22,0
0.17596,23,0
0.25819,25,0
0.12542,26,0
0.11925,37,0
0.19709,29,0
0.15035,29,0
0.14581,28,0
0.16259,33,0
0.089946,37,0
0.18119,42,0
0.09616,41,0
0.16813,21,0
0.10452,42,0
0.117,29,0
0.026525,27,0
0.028908,40,0
0.048057,35,0
0.035666,23,0
0.079368,32,0
0.14905,22,0
0.11444,20,0
0.13525,19,0
0.15137,20,0
0.13626,23,0
0.15145,28,0
0.086467,35,0
0.17826,24,0
0.17271,23,0
0.20144,14,0
0.19476,18,0
0.23245,17,0
0.21395,11,0
0.0037857,13,0
0.01375,6,0
0.40855,8,0
0,9,0
0,2,0
0.035307,21,0
0.069728,44,0
0.045397,42,0
0.081697,29,0
0.059161,25,0
0.05178,31,0
0.48389,13,0
0.77998,6,0
0.50999,9,0
0.095763,20,0
0.18294,30,0
0.71145,18,0
0.5724,25,0
0.22139,21,0
0.10886,28,0
0.22989,36,0
0.18531,11,0
0.3048,10,0
0.2093,17,0
0.098336,33,0
0.043907,32,0
0.019445,37,0
0.083941,25,0
0.31851,22,0
0.3395,17,0
0.094906,31,0
0.28475,13,0
0.44561,14,0
0.33226,19,0
0.050638,30,0
0.11598,29,0
0.065171,52,0
0.020469,50,0
0.082679,34,0
0.095791,31,0
0.20173,14,0
0.24165,10,0
0.24643,11,0
0.16651,11,0
0.29495,16,0
0.2395,17,0
0.094735,23,0
0.28101,16,0
0.16083,25,0
0.24301,27,0
0.23326,41,0
0.075702,54,0
0.097349,54,0
0.12659,46,0
0.11168,50,0
0.22955,40,0
0.39377,29,0
0.32223,9,0
0.28935,6,0
0.13074,12,0
0.25186,29,0
0.28438,18,0
0.31793,25,0
0.20291,29,0
0.040268,27,0
0.10746,27,0
0.19432,10,0
0.24139,11,0
0.203,12,0
0.21198,11,0
0.18834,13,0
0.17015,12,0
0.1888,14,0
0.12281,20,0
0.18074,21,0
0.20482,23,0
0.20207,17,0
0.16813,9,0
0.2866,7,0
0.35269,5,0
0.11472,11,0
0.13896,15,0
0.19801,20,0
0.20937,15,0
0.17237,13,0
0.33528,10,0
0.35311,9,0
0.36854,12,0
0.31487,9,0
0.25116,8,0
0.3128,10,0
0.34586,10,0
0.45104,12,0
0.34644,10,0
0.30958,11,0
0.27391,12,0
0.31126,8,0
0.40985,8,0
0.29554,9,0
0.24337,10,0
0.17643,12,0
0.29994,7,0
0.41002,4,0
0.45801,4,0
0.31578,12,0
0.4256,8,0
0.33447,15,0
0.19988,22,0
0.30811,22,0
0.33057,29,0
0.28272,29,0
0.20942,30,0
0.19864,15,0
0.27906,12,0
0.20674,8,0
0.11183,9,0
0.0033009,3,0
0,1,0
0.0087333,3,0
0.034555,12,0
0.74664,3,1
0.45972,3,1
1.1881,3,1
0.62862,2,1
1.0919,3,1
1.1308,3,1
1.0108,3,1
1.3515,5,1
1.515,5,1
1.6333,9,1
1.6269,8,1
1.6216,8,1
1.5576,8,1
1.4978,5,1
1.4091,5,1
1.2399,5,1
1.2232,4,1
1.2358,6,1
1.3396,3,1
1.3643,3,1
1.3906,3,1
1.4523,3,1
1.5774,3,1
1.3654,2,1
1.179,2,1
1.1143,2,1
1.2296,3,1
1.0467,3,1
1.0048,3,1
0.93634,4,1
0.91678,4,1
0.62825,4,1
0.49606,5,1
0.72955,5,1
0.90363,4,1
1.1634,5,1
1.2576,5,1
1.2541,4,1
1.2202,4,1
1.2182,4,1
1.3082,4,1
1.3299,5,1
1.3482,5,1
1.3872,4,1
1.3874,2,1
1.3575,2,1
1.2732,4,1
0.75323,2,1
0.3752,5,1
1.1708,2,1
1.5179,2,1
1.6574,2,1
1.5828,2,1
1.4202,2,1
1.5692,2,1
1.5861,2,1
1.631,2,1
1.5807,2,1
1.6149,2,1
1.6032,2,1
1.5803,2,1
1.5357,2,1
1.5769,2,1
1.6439,2,1
1.6544,2,1
1.6163,2,1
1.6149,2,1
1.5565,2,1
1.5517,2,1
1.6134,2,1
1.6259,2,1
1.6205,2,1
1.6331,2,1
1.6415,7,1
1.6347,9,1
1.6293,9,1
1.5966,8,1
1.5746,8,1
1.6088,8,1
1.6001,9,1
1.4829,8,1
1.3594,9,1
1.4591,9,1
1.4466,9,1
1.4016,9,1
1.3839,9,1
1.3777,9,1
1.3997,7,1
1.4587,2,1
1.5118,2,1
1.5238,2,1
1.5088,2,1
1.518,2,1
1.5377,2,1
1.572,3,1
1.6067,2,1
1.6051,2,1
1.5892,2,1
1.6073,2,1
1.6024,2,1
1.6207,2,1
1.6183,2,1
1.6432,2,1
1.6567,2,1
1.6646,2,1
1.6727,2,1
1.6855,2,1
1.6783,2,1
1.6887,2,1
1.728,2,1
1.7325,2,1
1.7174,2,1
1.7335,2,1
1.7491,2,1
1.7816,2,1
1.7391,2,1
1.7383,2,1
1.6447,2,1
1.5561,1,1
1.1595,2,1
1.5203,2,1
1.5644,2,0
1.2419,2,0
1.4554,2,0
0.96703,3,0
0.98746,3,0
0.80319,8,0
0.45915,8,0
0.51629,8,0
0.36002,11,0
0.20534,10,0
0.37303,8,0
0.42767,8,0
0.42793,8,0
0.33672,8,0
0.33024,9,0
0.35914,11,0
0.23265,18,0
0.11009,15,0
0.11617,18,0
0.14463,20,0
0.21884,18,0
0.17107,20,0
0.15972,20,0
0.19075,20,0
0.25109,19,0
0.20857,6,0
0.42791,3,0
0.80551,3,0
0.44864,3,0
0.2423,4,0
0.57303,3,0
0.50182,3,0
0.49374,3,0
0.55855,3,0
0.47621,3,0
0.32501,3,0
0.40298,5,0
0.495,3,0
0.59341,3,0
0.59424,3,0
0.66576,3,0
0.3052,4,0
0.30599,6,0
0.48823,3,0
0.63807,4,0
0.39088,8,0
0.45878,7,0
0.43947,5,0
0.36601,7,0
0.3975,8,0
0.31893,8,0
0.42339,7,1
0.57397,7,1
0.94369,2,1
1.4767,2,1
1.319,2,1
0.98168,2,1
0.88689,3,1
0.98278,2,1
1.4054,3,1
1.4729,2,1
1.2852,3,1
0.76204,7,1
0.61255,8,1
0.87414,3,1
0.33356,9,1
0.40943,7,1
0.76712,4,1
0.66502,9,0
0.61578,9,0
0.45544,8,0
0.34924,8,0
0.4175,7,0
0.39504,3,0
0.21818,19,0
0.13426,30,0
0.45591,6,0
0.3082,6,0
0.3185,7,0
0.47956,8,0
0.59056,4,0
0.58279,5,0
0.58745,6,0
0.62215,6,0
0.59546,6,0
0.5299,6,0
0.39031,8,0
0.50167,6,0
0.67133,3,0
0.68484,3,0
0.6841,3,0
0.45474,3,0
0.4265,3,0
0.39312,3,0
0.40487,3,0
0.54777,3,0
0.53347,9,0
0.46403,7,0
0.54865,8,0
0.59946,3,0
0.54583,7,0
0.55829,8,0
0.30491,16,0
0.21369,17,0
0.11747,11,0
0.089275,12,0
0.38432,9,0
0.39447,7,0
0.34629,8,0
0.41746,8,0
0.11762,24,0
0.20319,36,0
0.27278,38,0
0.15297,38,0
0.11207,44,0
0.063822,32,0
0.098168,33,0
0.14882,14,0
0.34101,8,0
0.266,7,0
0.4024,5,0
0.29738,3,0
0.47074,3,0
0.29491,7,0
0.42854,4,0
0.41661,4,0
0.43943,4,0
0.095143,21,0
0.13534,19,0
0.15677,15,0
0.11422,17,0
0.10955,21,0
0.38551,13,0
0.27249,7,0
0.10871,10,0
0.2942,7,0
0.057348,19,0
0.16011,18,0
0.064407,18,0
0.10428,20,0
0.12465,18,0
0.10839,18,0
0.13441,20,0
0.085736,27,0
0.075811,23,0
0.072669,24,0
0.092449,22,0
0.22417,23,0
0.18228,26,0
0.087968,23,0
0.1541,27,0
0.122,20,0
0.055553,25,0
0.11569,20,0
0.12195,21,0
0.1396,25,0
0.12579,18,0
0.13056,21,0
0.058487,35,0
0.066392,31,0
0.45807,8,0
0.47721,9,0
0.29636,9,0
0.30442,9,0
0.24785,8,0
0.2982,9,0
0.45685,9,0
0.22814,10,0
0.26525,11,0
0.17159,13,0
0.21398,13,0
0.34184,10,0
0.49374,8,0
0.1807,20,0
0.25764,8,0
0.40429,7,0
0.87587,6,0
0.54422,6,0
0.6039,5,0
0.3195,13,0
0.092663,30,0
0.34103,13,0
0.21622,16,0
0.1638,10,0
0.57031,7,0
0.074884,13,0
0.23654,17,0
0.22617,32,0
0.10047,6,0
0.17548,9,1
0.19531,8,1
0.31858,4,1
0.34643,4,1
0.39456,3,1
0.67762,3,1
1.0366,3,1
0.50164,3,1
1.2061,5,1
1.2412,3,1
1.5081,2,1
1.6031,2,1
1.5345,2,1
1.3306,2,1
0.79016,3,1
0.32527,10,1
0.4168,10,1
0.32991,10,1
0.31572,10,1
0.46764,9,1
0.29634,9,1
0.25549,12,1
0.32831,9,1
0.23753,9,0
0.19761,8,0
0.22947,9,0
0.10158,16,0
0.48638,7,0
0.37261,7,0
0.050945,37,0
0.032267,36,0
0.093368,28,0
0.056091,23,0
0.034534,24,0
0.088313,19,0
0.10563,20,0
0.1649,13,0
0.16826,10,0
0.10254,15,0
0.10663,14,0
0.20166,13,0
0,9,0
0.14805,3,0
0.107,7,0
0.035461,11,0
0.090677,20,1
0.40571,2,1
0.57852,2,1
0.60118,3,1
0.85799,6,1
0.84515,6,1
0.70292,6,1
0.90492,6,1
0.98169,6,1
0.91579,6,1
0.85216,6,1
0.80231,6,1
0.92606,6,1
0.86747,6,1
0.81591,6,1
0.91989,7,1
0.95474,7,1
0.95508,7,1
0.96342,7,1
0.99784,7,1
0.99789,7,1
0.97286,7,1
1.0129,7,1
1.0765,3,1
1.0947,2,1
1.1172,2,1
1.1437,2,1
1.0883,2,1
1.0275,2,1
1.0171,2,1
0.97248,2,1
0.94248,2,1
1.0328,2,1
1.0829,2,1
1.1065,2,1
1.1307,2,1
1.1332,2,1
1.1446,2,1
1.143,2,1
1.1124,2,1
1.0888,2,1
1.1034,2,1
1.1402,2,1
1.1675,2,1
1.1901,2,1
1.1979,2,1
1.1392,2,1
1.1908,2,1
1.1893,2,1
1.203,2,1
1.0559,2,1
1.2297,2,1
1.0354,2,1
0.82537,2,1
0.21829,6,1
0.15125,7,1
0.43761,3,1
0.92632,2,0
0.95316,2,0
0.027944,2,0
0,6,0
0,7,0
0.033671,6,0
0.28457,10,0
0.39337,8,0
0.69273,8,0
0.63638,7,0
0.38048,10,0
0.18535,10,0
0.15064,19,0
0.15838,17,0
0.34639,10,0
0.27042,16,0
0.11662,19,0
0.12944,19,0
0.23557,12,0
0.03771,9,0
0.22836,12,0
0.048394,22,0
0,17,0
0.10648,17,0
0.19205,13,0
0.37312,2,1
1.1428,2,1
1.3933,2,1
1.4619,2,1
1.4189,2,1
1.3852,2,1
1.3501,9,1
1.3174,8,1
1.3226,2,1
1.3552,2,1
1.3821,2,1
1.3879,2,1
1.4069,2,1
1.4026,2,1
1.3991,2,1
1.409,2,1
1.4452,2,1
1.4771,2,1
1.483,2,1
1.4608,2,1
1.4651,3,1
1.4523,2,1
1.4092,2,1
1.393,2,1
1.4137,3,1
1.3724,7,1
1.3019,11,1
1.3057,13,1
1.3017,13,1
1.2999,12,1
1.3221,8,1
1.3237,3,1
1.3642,3,1
1.3541,4,1
1.3164,3,1
1.2882,4,1
1.3129,4,1
1.3746,2,1
1.3837,2,1
1.3967,2,1
1.3636,2,1
1.3565,5,1
1.342,9,1
1.3087,9,1
1.1934,8,1
1.1157,5,1
1.0801,5,1
1.1076,5,1
1.0914,5,1
1.0971,5,1
1.1206,5,1
1.1166,5,1
1.1186,5,1
1.1228,6,1
1.133,5,1
1.2948,8,1
1.3601,8,1
