@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0053629,0,0,0,0,0,0
0.0037031,0,0,0,0,0,0
0.012599,1,23,0.008896,1,23,0
0.014016,2,14,0.010313,2,14,0
0.016443,2,15,0.01274,2,15,1
0.014562,2,14,0.010859,2,14,1
0.01723,2,15,0.013527,2,15,1
0.030876,1,15,0.027173,1,15,1
0.04401,3,15,0.040306,3,15,1
0.047067,4,4,0.043364,4,4,1
0.06064,4,5,0.056937,4,5,1
0.044793,4,5,0.04109,4,5,1
0.045668,4,4,0.041965,4,4,1
0.054312,4,4,0.050609,4,4,1
0.058461,4,4,0.054758,4,4,1
0.06382,4,4,0.060117,4,4,1
0.064687,4,4,0.060984,4,4,1
0.058751,4,4,0.055048,4,4,1
0.075354,4,4,0.071651,4,4,1
0.082638,4,4,0.078935,4,4,1
0.046291,4,4,0.042588,4,4,1
0.057401,4,4,0.053698,4,4,1
0.061356,4,4,0.057653,4,4,1
0.06044,4,4,0.056737,4,4,1
0.041142,4,4,0.037439,4,4,1
0.034035,4,4,0.030332,4,4,1
0.053563,4,5,0.04986,4,5,1
0.051075,4,4,0.047372,4,4,1
0.057269,4,4,0.053566,4,4,1
0.045007,4,4,0.041304,4,4,1
0.042627,4,4,0.038924,4,4,1
0.040184,5,4,0.036481,5,4,1
0.043228,5,4,0.039525,5,4,1
0.043486,4,4,0.039783,4,4,1
0.048062,5,5,0.044359,5,5,1
0.056742,5,5,0.053039,5,5,1
0.040275,6,4,0.036572,6,4,1
0.050406,6,4,0.046703,6,4,1
0.051561,6,4,0.047858,6,4,1
0.054432,5,5,0.050729,5,5,1
0.050946,5,5,0.047243,5,5,1
0.055139,5,4,0.051436,5,4,1
0.069914,5,4,0.066211,5,4,1
0.077084,6,4,0.07338,6,4,1
0.084459,6,4,0.080756,6,4,1
0.072591,5,4,0.068888,5,4,1
0.068478,3,4,0.064775,3,4,1
0.056471,4,4,0.052768,4,4,1
0.045819,4,4,0.042116,4,4,1
0.043198,3,4,0.039495,3,4,1
0.031621,3,3,0.027918,3,3,1
0.019644,1,13,0.015941,1,13,1
0.028784,3,3,0.025081,3,3,1
0.030715,4,3,0.027012,4,3,1
0.039045,3,3,0.035342,3,3,1
0.048086,3,3,0.044383,3,3,1
0.041102,2,4,0.037399,2,4,1
0.046005,1,13,0.042302,1,13,1
0.030389,1,13,0.026686,1,13,1
0.027036,1,13,0.023333,1,13,1
0.012876,1,13,0.0091725,1,13,1
0.0034698,0,0,0,0,0,0
0.0033417,0,0,0,0,0,0
0.0018977,0,0,0,0,0,0
0.0029938,0,0,0.0010961,0,0,0
0.0038211,0,0,0.0019234,0,0,0
0.011845,1,23,0.0099477,1,23,0
0.009561,0,0,0.0076633,0,0,0
0.016581,1,21,0.014683,1,21,0
0.019383,1,24,0.017485,1,24,0
0.028447,1,23,0.02655,1,23,0
0.016027,1,24,0.014129,1,24,0
0.029848,2,15,0.02795,2,15,0
0.016891,2,15,0.014994,2,15,0
0.022895,1,15,0.020998,1,15,0
0.018288,1,22,0.01639,1,22,0
0.015071,2,15,0.013173,2,15,0
0.01392,1,15,0.012022,1,15,0
0.015155,1,15,0.013258,1,15,0
0.0080033,0,0,0.0061056,0,0,0
0.0049231,0,0,0.0030254,0,0,0
0.001841,0,0,0,0,0,0
0.0011425,0,0,0,0,0,0
0.0008105,0,0,0,0,0,0
0.0059993,0,0,0.0051888,0,0,0
0.0079195,0,0,0.007109,0,0,0
0.0077063,0,0,0.0068958,0,0,1
0.0038944,0,0,0.0030839,0,0,1
0.034005,3,4,0.033194,3,4,1
0.040307,2,4,0.039497,2,4,1
0.049547,4,4,0.048736,4,4,1
0.046426,4,4,0.045616,4,4,1
0.047174,4,4,0.046363,4,4,1
0.054936,4,4,0.054125,4,4,1
0.045579,3,4,0.044768,3,4,1
0.053133,3,4,0.052323,3,4,1
0.042479,4,4,0.041669,4,4,1
0.047751,4,4,0.04694,4,4,1
0.050013,4,4,0.049202,4,4,1
0.04892,4,4,0.04811,4,4,1
0.051041,4,4,0.050231,4,4,1
0.043902,3,4,0.043091,3,4,1
0.043732,4,4,0.042921,4,4,1
0.049901,4,4,0.04909,4,4,1
0.039602,4,4,0.038792,4,4,1
0.054089,2,4,0.053278,2,4,1
0.055643,3,4,0.054832,3,4,1
0.068548,3,4,0.067738,3,4,1
0.07451,3,5,0.073699,3,5,1
0.058757,3,4,0.057946,3,4,1
0.061837,3,4,0.061026,3,4,1
0.051233,3,4,0.050423,3,4,1
0.060822,4,4,0.060011,4,4,1
0.064755,4,4,0.063944,4,4,1
0.060411,4,4,0.059601,4,4,1
0.057878,4,4,0.057068,4,4,1
0.061025,4,4,0.060214,4,4,1
0.061064,4,4,0.060254,4,4,1
0.060989,3,4,0.060179,3,4,1
0.058925,4,4,0.058115,4,4,1
0.061403,4,4,0.060593,4,4,1
0.056773,3,4,0.055963,3,4,1
0.054869,3,4,0.054059,3,4,1
0.052834,3,4,0.052023,3,4,1
0.053268,3,4,0.052457,3,4,1
0.053071,3,4,0.05226,3,4,1
0.054887,3,4,0.054077,3,4,1
0.046698,3,4,0.045887,3,4,1
0.052593,3,4,0.051782,3,4,1
0.056149,3,4,0.055338,3,4,1
0.063611,3,4,0.0628,3,4,1
0.057173,3,4,0.056362,3,4,1
0.044388,4,4,0.043577,4,4,1
0.051174,3,4,0.050363,3,4,1
0.049968,3,4,0.049158,3,4,1
0.062787,4,4,0.061977,4,4,1
0.054515,3,4,0.053705,3,4,1
0.045489,3,4,0.044678,3,4,1
0.042064,4,4,0.041254,4,4,1
0.035876,3,4,0.035065,3,4,1
0.036256,4,4,0.035446,4,4,1
0.040238,4,4,0.039428,4,4,1
0.034356,1,12,0.033545,1,12,1
0.035893,1,12,0.035083,1,12,1
0.03578,3,4,0.03497,3,4,1
0.042396,3,13,0.041586,3,13,1
0.045374,2,13,0.044564,2,13,1
0.05759,3,4,0.056779,3,4,1
0.061284,3,4,0.060474,3,4,1
0.065037,4,4,0.064226,4,4,1
0.05337,3,4,0.05256,3,4,1
0.059074,4,4,0.058264,4,4,1
0.067908,4,4,0.067098,4,4,1
0.065216,4,4,0.064406,4,4,1
0.065423,4,4,0.064613,4,4,1
0.058607,3,5,0.057797,3,5,1
0.065811,4,4,0.065001,4,4,1
0.06211,3,5,0.0613,3,5,1
0.068274,4,5,0.067464,4,5,1
0.064554,4,5,0.063744,4,5,1
0.067564,4,5,0.066753,4,5,1
0.062445,4,5,0.061634,4,5,1
0.062455,4,5,0.061645,4,5,1
0.060428,4,5,0.059617,4,5,1
0.050547,4,5,0.049737,4,5,1
0.050091,4,5,0.049281,4,5,1
0.061305,3,4,0.060494,3,4,1
0.063691,2,5,0.062881,2,5,1
0.056059,3,4,0.055249,3,4,1
0.042735,1,14,0.041925,1,14,1
0.054352,2,13,0.053542,2,13,1
0.062726,2,13,0.061916,2,13,1
0.057258,1,13,0.056448,1,13,1
0.051153,1,13,0.050342,1,13,1
0.053221,1,14,0.05241,1,14,1
0.052709,1,14,0.051899,1,14,1
0.061396,1,13,0.060586,1,13,1
0.061384,1,13,0.060573,1,13,1
0.061531,1,14,0.06072,1,14,1
0.053657,1,13,0.052846,1,13,1
0.055649,1,13,0.054839,1,13,1
0.049416,1,13,0.048605,1,13,1
0.03792,1,13,0.03711,1,13,1
0.037193,1,13,0.036382,1,13,1
0.038499,1,13,0.037689,1,13,1
0.032158,1,13,0.031348,1,13,1
0.025314,1,13,0.024503,1,13,1
0.020692,1,13,0.019882,1,13,1
0.011813,1,13,0.011002,1,13,1
0.005251,0,0,0.0044405,0,0,1
0.012143,1,19,0.011332,1,19,1
0.0032361,0,0,0.0024256,0,0,1
0.0071064,0,0,0.0062959,0,0,1
